date,id,NERs_per
2021-07-01 17:00:00+00:00,3854289097,[]
2021-03-28 13:57:00+00:00,2913289005,[]
2021-03-28 14:16:00+00:00,1507377146,[]
2021-03-28 20:01:31+00:00,622324296,[]
2021-07-01 12:23:00+00:00,1061485230,[]
2021-07-01 16:00:00+00:00,1088181387,[]
2021-07-01 15:35:00+00:00,3057802627,"['Bertrand Chameroy', 'Vincent Bolloré']"
2021-07-01 17:40:53+00:00,1959694880,[]
2021-03-29 05:59:00+00:00,1899326559,[]
2021-03-28 11:21:00+00:00,3077576275,[]
2021-07-02 05:53:00+00:00,728109741,[]
2021-07-02 05:00:00+00:00,231795232,[]
2021-07-02 11:32:00+00:00,2135538813,[]
2021-07-02 13:17:00+00:00,2530856035,[]
2021-07-02 15:51:00+00:00,801671042,"['Melvin Bard', 'Sylvain Ripoll']"
2021-07-02 14:30:00+00:00,3432137676,[]
2021-03-28 17:00:00+00:00,1869197730,[]
2021-03-29 06:34:00+00:00,2259172129,[]
2021-03-28 17:34:58+00:00,2248604618,[]
2021-03-29 05:05:00+00:00,3700404132,[]
2021-03-29 11:00:00+00:00,432990814,[]
2021-07-02 12:30:00+00:00,235309945,['Nikita Parris']
2021-07-02 17:11:57+00:00,3281819127,[]
2021-07-02 04:00:00+00:00,3558409941,[]
2021-07-01 17:00:00+00:00,225439702,['Grégory Doucet']
2021-03-29 14:29:00+00:00,1631224041,[]
2021-03-29 09:00:00+00:00,126680731,[]
2021-03-29 10:11:00+00:00,721826532,"['Jean-Jacques Annaud', 'Jean-Jacques Annaud']"
2021-03-29 13:15:00+00:00,799371525,[]
2021-03-29 17:00:00+00:00,1721347303,[]
2021-03-29 10:18:00+00:00,2322182549,['Nicolas Mazzuchelli']
2021-03-29 05:00:00+00:00,844866234,"['Camille Ninel', 'Camille Ninel']"
2021-07-02 10:50:00+00:00,2615662424,['Aline Victor']
2021-07-02 16:00:00+00:00,2466806516,['Hocine Mebarkia']
2021-07-02 07:52:04+00:00,505049164,"['Laurent Wauquiez', 'Laurent Wauquiez']"
2021-07-02 17:00:00+00:00,2842718583,[]
2021-07-02 16:30:00+00:00,1907689669,[]
2021-07-02 07:00:00+00:00,516744595,['Enedis']
2021-07-01 21:37:36+00:00,3278122813,['Théo Charaf']
2021-07-01 21:37:36+00:00,2956327065,[]
2021-07-02 03:58:00+00:00,193721683,[]
2021-07-02 09:57:00+00:00,695213520,['Jean-Baptiste Djebbari']
2021-07-02 10:30:00+00:00,3323933606,[]
2021-07-02 11:58:00+00:00,648818436,[]
2021-07-02 09:20:00+00:00,3634300646,[]
2021-07-02 04:10:00+00:00,1529354889,"['Bruno Bonnell', 'Cedric Van', 'Fabienne Grebert']"
2021-07-03 05:00:00+00:00,4052647864,[]
2021-07-03 12:00:00+00:00,878395467,['Touché']
2021-07-03 12:45:00+00:00,191322446,[]
2021-07-03 05:17:00+00:00,1436660204,[]
2021-07-03 13:56:31+00:00,381114566,[]
2021-07-03 05:00:00+00:00,277636473,[]
2021-07-03 10:15:00+00:00,517875542,[]
2021-07-03 08:15:00+00:00,4200188497,"['Taofifenua', 'Cretin', 'Couilloud']"
2021-07-03 04:00:00+00:00,682626822,['Gilles Darricau']
2021-07-03 08:17:00+00:00,4178837791,[]
2021-07-03 17:36:00+00:00,3196170226,"['Covid-19', 'Jair Bolsonaro']"
2021-07-03 15:50:00+00:00,2641379583,[]
2021-03-29 10:00:00+00:00,403574918,[]
2021-03-29 08:51:00+00:00,2642593634,[]
2021-03-29 04:00:00+00:00,3124537526,['Coralie Gassama']
2021-07-02 13:02:00+00:00,2117565795,[]
2021-07-03 05:20:00+00:00,3404956877,[]
2021-07-03 10:45:00+00:00,416988941,"['frères Lumière', 'Olivier Berzane', 'Grégory Doucet']"
2021-07-03 10:00:00+00:00,672377388,[]
2021-07-03 15:30:00+00:00,2614723298,['Covid-19']
2021-07-03 14:33:54+00:00,2685089325,['Mama Shelter']
2021-03-28 20:28:36+00:00,1748159455,[]
2021-07-03 14:09:00+00:00,2291410525,[]
2021-07-02 09:24:00+00:00,2355647793,[]
2021-07-03 14:33:54+00:00,3285525398,[]
2021-07-03 14:19:00+00:00,919174246,"['Premier ministre', 'Yoshihide']"
2021-07-05 07:13:00+00:00,962170730,"['Patrick Boré', 'Patrick Boré']"
2021-07-05 06:38:00+00:00,2249235487,[]
2021-07-04 10:00:00+00:00,2569281911,[]
2021-07-03 17:00:00+00:00,2556720745,"['Jean-Christophe Rufin', 'Albert de Monaco']"
2021-07-04 11:00:00+00:00,619055661,"['Bruno Berberes', 'Bruno Berberes']"
2021-03-29 08:31:33+00:00,2530357290,[]
2021-03-29 13:57:00+00:00,3414293053,['Angelique Bouce']
2021-07-04 04:00:00+00:00,3237787750,[]
2021-07-04 04:00:00+00:00,63395937,['Linky']
2021-07-03 17:00:00+00:00,2407785072,[]
2021-07-03 17:00:00+00:00,3279191203,"['Nicolas Fieulaine', 'Immuniser Lyon']"
2021-07-03 17:00:00+00:00,1016719071,['Laura Grail']
2021-07-03 12:04:00+00:00,1948130272,[]
2021-07-04 08:53:00+00:00,663669767,[]
2021-07-04 08:46:00+00:00,1690497008,[]
2021-07-04 16:13:18+00:00,748271853,[]
2021-07-04 14:10:00+00:00,4013599178,[]
2021-07-04 17:00:00+00:00,2162516160,[]
2021-07-03 06:00:00+00:00,625287889,[]
2021-03-30 07:49:00+00:00,1052567230,[]
2021-03-30 09:00:00+00:00,3993245088,"['Covid-19', 'Covid-19']"
2021-03-22 18:00:00+00:00,89545689,[]
2021-03-30 04:15:00+00:00,1628344677,['Covid-19']
